"","Year","Temp","CO2","CH4","N2O","CFC","HCFCs","HFCs","Total_Rad_Force","Cumulative_PPM","Proportion_1990","Change_Percent_Previous","Ocean_Heat","Sea_Surface_Temp_Anomaly"
"1",1979,46.3666666666667,1.054,0.432,0.108,0.194,0.008,0.001,1.796,389,0.781,0,-1.196233333,0.039
"2",1980,46.0583333333333,1.088,0.439,0.108,0.204,0.009,0.001,1.849,393,0.804,2.3,0.854766667,0.065
"3",1981,47.2916666666667,1.107,0.446,0.111,0.215,0.01,0.001,1.89,396,0.822,1.8,-0.114233333,0
"4",1982,45.525,1.119,0.453,0.115,0.226,0.011,0.001,1.925,399,0.837,1.5,-2.542233333,0
"5",1983,46.6916666666667,1.147,0.456,0.117,0.237,0.012,0.001,1.97,402,0.856,1.9,-2.999233333,0.137
"6",1984,45.325,1.172,0.459,0.12,0.248,0.013,0.002,2.013,405,0.875,1.9,-0.695233333,-0.034
"7",1985,43.9333333333333,1.195,0.464,0.122,0.26,0.014,0.002,2.057,409,0.894,1.9,-0.126233333,-0.106
"8",1986,47.3083333333333,1.218,0.469,0.126,0.273,0.015,0.002,2.103,412,0.914,2,-1.273233333,-0.049
"9",1987,48.25,1.246,0.474,0.125,0.287,0.016,0.002,2.15,416,0.934,2,-1.129233333,0.214
"10",1988,47.2833333333333,1.286,0.478,0.127,0.304,0.017,0.002,2.213,421,0.962,2.8,0.851766667,0.14
"11",1989,46.5833333333333,1.311,0.483,0.131,0.317,0.018,0.003,2.262,425,0.983,2.1,0.666766667,0.068
"12",1990,47.2666666666667,1.331,0.487,0.133,0.327,0.02,0.003,2.301,428,1,1.7,-0.059233333,0.246
"13",1991,47.1333333333333,1.353,0.491,0.135,0.335,0.021,0.003,2.338,431,1.016,1.6,2.409766667,0.183
"14",1992,48.6416666666667,1.364,0.495,0.137,0.343,0.022,0.003,2.365,433,1.028,1.2,0.335766667,0.041
"15",1993,45.575,1.375,0.495,0.138,0.346,0.024,0.004,2.382,434,1.035,0.7,0.447766667,0.052
"16",1994,47.9,1.399,0.497,0.14,0.348,0.025,0.004,2.413,437,1.049,1.4,1.273766667,0.09
"17",1995,47.5416666666667,1.427,0.5,0.141,0.349,0.027,0.005,2.449,440,1.064,1.5,2.027766667,0.169
"18",1996,45.6083333333333,1.455,0.501,0.144,0.35,0.028,0.005,2.483,443,1.079,1.5,4.307766667,0.086
"19",1997,47.1083333333333,1.472,0.502,0.146,0.35,0.03,0.006,2.506,445,1.089,1,3.008766667,0.353
"20",1998,48.6,1.512,0.506,0.149,0.35,0.031,0.007,2.556,449,1.111,2.1,4.067766667,0.441
"21",1999,46.9416666666667,1.545,0.509,0.152,0.35,0.033,0.008,2.596,452,1.128,1.8,5.706766667,0.079
"22",2000,46.175,1.563,0.509,0.156,0.349,0.035,0.008,2.62,454,1.139,1,5.435766667,0.129
"23",2001,46.875,1.587,0.509,0.158,0.348,0.036,0.01,2.647,456,1.151,1.2,3.880766667,0.356
"24",2002,46.9333333333333,1.617,0.509,0.16,0.347,0.038,0.011,2.682,459,1.166,1.5,6.552766667,0.41
"25",2003,48.175,1.656,0.511,0.163,0.345,0.039,0.012,2.725,463,1.185,1.9,9.715766667,0.453
"26",2004,48.3916666666667,1.683,0.511,0.164,0.344,0.04,0.013,2.756,466,1.198,1.3,10.00376667,0.434
"27",2005,47.3333333333333,1.713,0.51,0.167,0.342,0.042,0.015,2.788,469,1.212,1.4,8.175766667,0.428
"28",2006,47.5083333333333,1.745,0.51,0.17,0.34,0.043,0.016,2.825,472,1.228,1.6,10.19376667,0.426
"29",2007,46.7916666666667,1.771,0.512,0.172,0.338,0.045,0.018,2.857,475,1.242,1.4,9.241766667,0.293
"30",2008,45.7583333333333,1.803,0.514,0.175,0.336,0.048,0.02,2.895,478,1.258,1.7,9.815766667,0.27
"31",2009,46.3666666666667,1.824,0.517,0.177,0.334,0.049,0.021,2.922,481,1.27,1.2,9.889766667,0.493
"32",2010,47.0833333333333,1.857,0.519,0.18,0.331,0.051,0.023,2.961,484,1.287,1.7,10.13076667,0.511
"33",2011,45.525,1.884,0.52,0.183,0.329,0.053,0.025,2.994,487,1.302,1.5,10.63276667,0.32
"34",2012,47.0583333333333,1.914,0.522,0.186,0.327,0.054,0.027,3.029,490,1.317,1.5,10.70476667,0.441
"35",2013,47.15,1.953,0.524,0.189,0.324,0.056,0.028,3.074,494,1.336,2,12.36476667,0.48
"36",2014,48.375,1.98,0.528,0.193,0.322,0.057,0.03,3.11,498,1.352,1.6,13.02476667,0.646
"37",2015,49.975,2.013,0.532,0.196,0.32,0.058,0.032,3.151,502,1.37,1.8,14.88576667,0.858
"38",2016,48.575,2.062,0.535,0.199,0.318,0.059,0.034,3.207,507,1.394,2.4,13.73576667,0.93
"39",2017,46.8166666666667,2.092,0.538,0.201,0.316,0.06,0.036,3.243,510,1.409,1.5,15.64176667,0.821
"40",2018,48.05,2.125,0.541,0.205,0.314,0.06,0.039,3.284,514,1.427,1.8,16.48576667,0.741
"41",2019,46.525,2.159,0.544,0.208,0.312,0.061,0.041,3.325,518,1.445,1.8,17.48976667,0.878
"42",2020,48.0583333333333,2.192,0.549,0.211,0.309,0.061,0.043,3.366,522,1.463,1.8,17.28776667,0.846
"43",2021,48.2583333333333,2.223,0.555,0.215,0.306,0.061,0.046,3.406,526,1.48,1.8,18.49876667,0.668
"44",2022,47.0916666666667,2.255,0.561,0.219,0.303,0.061,0.048,3.449,530,1.499,1.8,19.45076667,0.743
"45",2023,48.3666666666667,2.286,0.565,0.223,0.301,0.061,0.051,3.485,534,1.515,1.6,20.40076667,1.161
