"","X","Year","CO2","CH4","N2O","CFC","HCFCs","HFCs","Total_Rad_Force","Cumulative_PPM","Proportion_1990","Change_Percent_Previous","Ocean_Heat","Sea_Surface_Temp_Anomaly","Entity","Code","Temperature_anomaly"
"1",1,1979,1.054,0.432,0.108,0.194,0.008,0.001,1.796,389,0.781,0,-1.196233333,0.039,"World","OWID_WRL",-0.42901555
"2",2,1980,1.088,0.439,0.108,0.204,0.009,0.001,1.849,393,0.804,2.3,0.854766667,0.065,"World","OWID_WRL",-0.2977848
"3",3,1981,1.107,0.446,0.111,0.215,0.01,0.001,1.89,396,0.822,1.8,-0.114233333,0,"World","OWID_WRL",-0.2643908
"4",4,1982,1.119,0.453,0.115,0.226,0.011,0.001,1.925,399,0.837,1.5,-2.542233333,0,"World","OWID_WRL",-0.46367812
"5",5,1983,1.147,0.456,0.117,0.237,0.012,0.001,1.97,402,0.856,1.9,-2.999233333,0.137,"World","OWID_WRL",-0.2688137
"6",6,1984,1.172,0.459,0.12,0.248,0.013,0.002,2.013,405,0.875,1.9,-0.695233333,-0.034,"World","OWID_WRL",-0.48144278
"7",7,1985,1.195,0.464,0.122,0.26,0.014,0.002,2.057,409,0.894,1.9,-0.126233333,-0.106,"World","OWID_WRL",-0.52181727
"8",8,1986,1.218,0.469,0.126,0.273,0.015,0.002,2.103,412,0.914,2,-1.273233333,-0.049,"World","OWID_WRL",-0.43305197
"9",9,1987,1.246,0.474,0.125,0.287,0.016,0.002,2.15,416,0.934,2,-1.129233333,0.214,"World","OWID_WRL",-0.2776557
"10",10,1988,1.286,0.478,0.127,0.304,0.017,0.002,2.213,421,0.962,2.8,0.851766667,0.14,"World","OWID_WRL",-0.24551122
"11",11,1989,1.311,0.483,0.131,0.317,0.018,0.003,2.262,425,0.983,2.1,0.666766667,0.068,"World","OWID_WRL",-0.36384955
"12",12,1990,1.331,0.487,0.133,0.327,0.02,0.003,2.301,428,1,1.7,-0.059233333,0.246,"World","OWID_WRL",-0.13243413
"13",13,1991,1.353,0.491,0.135,0.335,0.021,0.003,2.338,431,1.016,1.6,2.409766667,0.183,"World","OWID_WRL",-0.18719618
"14",14,1992,1.364,0.495,0.137,0.343,0.022,0.003,2.365,433,1.028,1.2,0.335766667,0.041,"World","OWID_WRL",-0.4192706
"15",15,1993,1.375,0.495,0.138,0.346,0.024,0.004,2.382,434,1.035,0.7,0.447766667,0.052,"World","OWID_WRL",-0.3734623
"16",16,1994,1.399,0.497,0.14,0.348,0.025,0.004,2.413,437,1.049,1.4,1.273766667,0.09,"World","OWID_WRL",-0.33713952
"17",17,1995,1.427,0.5,0.141,0.349,0.027,0.005,2.449,440,1.064,1.5,2.027766667,0.169,"World","OWID_WRL",-0.15936883
"18",18,1996,1.455,0.501,0.144,0.35,0.028,0.005,2.483,443,1.079,1.5,4.307766667,0.086,"World","OWID_WRL",-0.28933215
"19",19,1997,1.472,0.502,0.146,0.35,0.03,0.006,2.506,445,1.089,1,3.008766667,0.353,"World","OWID_WRL",-0.16711688
"20",20,1998,1.512,0.506,0.149,0.35,0.031,0.007,2.556,449,1.111,2.1,4.067766667,0.441,"World","OWID_WRL",0.021511635
"21",21,1999,1.545,0.509,0.152,0.35,0.033,0.008,2.596,452,1.128,1.8,5.706766667,0.079,"World","OWID_WRL",-0.24735546
"22",22,2000,1.563,0.509,0.156,0.349,0.035,0.008,2.62,454,1.139,1,5.435766667,0.129,"World","OWID_WRL",-0.25242472
"23",23,2001,1.587,0.509,0.158,0.348,0.036,0.01,2.647,456,1.151,1.2,3.880766667,0.356,"World","OWID_WRL",-0.09241573
"24",24,2002,1.617,0.509,0.16,0.347,0.038,0.011,2.682,459,1.166,1.5,6.552766667,0.41,"World","OWID_WRL",0.004265785
"25",25,2003,1.656,0.511,0.163,0.345,0.039,0.012,2.725,463,1.185,1.9,9.715766667,0.453,"World","OWID_WRL",-0.008698543
"26",26,2004,1.683,0.511,0.164,0.344,0.04,0.013,2.756,466,1.198,1.3,10.00376667,0.434,"World","OWID_WRL",-0.0700523
"27",27,2005,1.713,0.51,0.167,0.342,0.042,0.015,2.788,469,1.212,1.4,8.175766667,0.428,"World","OWID_WRL",0.09218478
"28",28,2006,1.745,0.51,0.17,0.34,0.043,0.016,2.825,472,1.228,1.6,10.19376667,0.426,"World","OWID_WRL",0.044091385
"29",29,2007,1.771,0.512,0.172,0.338,0.045,0.018,2.857,475,1.242,1.4,9.241766667,0.293,"World","OWID_WRL",0.036683958
"30",30,2008,1.803,0.514,0.175,0.336,0.048,0.02,2.895,478,1.258,1.7,9.815766667,0.27,"World","OWID_WRL",-0.0957888
"31",31,2009,1.824,0.517,0.177,0.334,0.049,0.021,2.922,481,1.27,1.2,9.889766667,0.493,"World","OWID_WRL",0.034867287
"32",32,2010,1.857,0.519,0.18,0.331,0.051,0.023,2.961,484,1.287,1.7,10.13076667,0.511,"World","OWID_WRL",0.13054967
"33",33,2011,1.884,0.52,0.183,0.329,0.053,0.025,2.994,487,1.302,1.5,10.63276667,0.32,"World","OWID_WRL",-0.011309306
"34",34,2012,1.914,0.522,0.186,0.327,0.054,0.027,3.029,490,1.317,1.5,10.70476667,0.441,"World","OWID_WRL",0.03982814
"35",35,2013,1.953,0.524,0.189,0.324,0.056,0.028,3.074,494,1.336,2,12.36476667,0.48,"World","OWID_WRL",0.06704966
"36",36,2014,1.98,0.528,0.193,0.322,0.057,0.03,3.11,498,1.352,1.6,13.02476667,0.646,"World","OWID_WRL",0.10620841
"37",37,2015,2.013,0.532,0.196,0.32,0.058,0.032,3.151,502,1.37,1.8,14.88576667,0.858,"World","OWID_WRL",0.25557676
"38",38,2016,2.062,0.535,0.199,0.318,0.059,0.034,3.207,507,1.394,2.4,13.73576667,0.93,"World","OWID_WRL",0.43919453
"39",39,2017,2.092,0.538,0.201,0.316,0.06,0.036,3.243,510,1.409,1.5,15.64176667,0.821,"World","OWID_WRL",0.3436409
"40",40,2018,2.125,0.541,0.205,0.314,0.06,0.039,3.284,514,1.427,1.8,16.48576667,0.741,"World","OWID_WRL",0.2638851
"41",41,2019,2.159,0.544,0.208,0.312,0.061,0.041,3.325,518,1.445,1.8,17.48976667,0.878,"World","OWID_WRL",0.399228
"42",42,2020,2.192,0.549,0.211,0.309,0.061,0.043,3.366,522,1.463,1.8,17.28776667,0.846,"World","OWID_WRL",0.4321631
"43",43,2021,2.223,0.555,0.215,0.306,0.061,0.046,3.406,526,1.48,1.8,18.49876667,0.668,"World","OWID_WRL",0.27369085
"44",44,2022,2.255,0.561,0.219,0.303,0.061,0.048,3.449,530,1.499,1.8,19.45076667,0.743,"World","OWID_WRL",0.3008647
"45",45,2023,2.286,0.565,0.223,0.301,0.061,0.051,3.485,534,1.515,1.6,20.40076667,1.161,"World","OWID_WRL",0.60073286
